;,"The RYA Portsmouth Yardstick Scheme is provided to enable clubs to allow boats of different classes to race against each other fairly. The RYA actively encourages clubs to adjust handicaps where classes are either under or over performing compared to the number being used. 
The Portsmouth Yardstick list combines the Portsmouth numbers with class configuration and the total number of races returned to the RYA in the annual return. This additional data has been provided to help clubs achieve the stated aims of the Portsmouth Yardstick system and make adjustments to Portsmouth Numbers where necessary. Clubs using the PN list should be aware that the list is based on the average performance of each boat across a variety of clubs and locations. The numbers in the PN list may not reflect the peak performance of each boat.
",,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,
;,Experimental numbers are based on fewer returns and are to be used as a guide for clubs to allocate a starting number for either new or development classes. Any number issued by a club should be reviewed and adjusted where necessary at the clubs discretion. The list of experimental Portsmouth Numbers will be periodically reviewed by the RYA and is based on data received from the PY Online website (www.pys.org.uk).,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,
;,Users of the PY scheme are reminded that all Portsmouth Numbers published by the RYA should be regarded as a guide only. The RYA list is not definitive and clubs should adjust where necessary. For further information please visit the RYA website: http://www.rya.org.uk/racing/Pages/portsmouthyardstick.aspx,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,
PY,RYA PN LIST - Dinghy,,,,,,,,,,,,,,
PY,Class Name,Number,,,,,,,No. of Crew,Rig,Spinnaker,Number,Change from 2013,Races,Notes
PY,420,1100,,,,,,,2,S,C,1100,,572,
PY,505,910,,,,,,,2,S,C,910,8,530,
PY,2000,1100,,,,,,,2,S,A,1100,10,4043,PREVIOUSLY LASER 2000
PY,29ER,922,,,,,,,2,S,A,922,,874,
PY,49ER,732,,,,,,,2,S,A,732,-8,502,
PY,ALBACORE,1050,,,,,,,2,S,0,1050,-5,3241,
PY,B14,870,,,,,,,2,S,A,870,,229,
PY,BLAZE,1026,,,,,,,1,U,0,1026,-6,3030,
PY,BRITISH MOTH,1164,,,,,,,1,U,0,1164,,506,
PY,BUZZ,1007,,,,,,,2,S,A,1007,4,597,
PY,BYTE CII,1150,,,,,,,1,U,0,1150,4,800,
PY,CADET,1435,,,,,,,2,S,C,1435,3,204,
PY,CANOE INTERNATIONAL,870,,,,,,,1,S,A,870,,205,
PY,CANOE INTERNATIONAL,895,,,,,,,1,S,0,895,-10,266,
PY,COMET,1196,,,,,,,1,U,0,1196,6,3564,
PY,COMET TRIO,1085,,,,,,,2,S,A,1085,,267,
PY,CONTENDER,980,,,,,,,1,U,0,980,-2,2319,
PY,DEVOTI D-ONE,959,,,,,,,1,U,A,959,6,201,
PY,ENTERPRISE,1115,,,,,,,2,S,0,1115,-2,6719,
PY,EUROPE,1148,,,,,,,1,U,0,1148,,791,
PY,FINN,1050,,,,,,,1,U,0,1050,-3,1765,
PY,FIREBALL,975,,,,,,,2,S,C,975,,3795,
PY,FIREFLY,1168,,,,,,,2,S,0,1168,,899,
PY,GP14,1130,,,,,,,2,S,C,1130,3,5356,
PY,GRADUATE,1141,,,,,,,2,S,0,1141,,1213,
PY,HERON,1345,,,,,,,1,S,0,1345,,340,
PY,HORNET,973,,,,,,,2,S,C,973,,275,
PY,ISO,923,,,,,,,2,S,A,923,-1,529,
PY,JAVELIN,926,,,,,,,2,S,C,926,,251,
PY,KESTREL,1025,,,,,,,2,S,C,1025,-15,714,
PY,LARK,1071,,,,,,,2,S,C,1071,,1884,
PY,LASER,1088,,,,,,,1,U,0,1088,1,45207,
PY,LASER 3000,1058,,,,,,,2,S,A,1058,11,447,
PY,LASER 4.7,1185,,,,,,,1,U,0,1185,5,3115,
PY,LASER 4000/ 4000,922,,,,,,,2,S,A,922,11,614,
PY,LASER EPS,1024,,,,,,,1,U,0,1024,,527,
PY,LASER II,1055,,,,,,,2,S,C,1055,20,377,
PY,LASER PICO,1318,,,,,,,1,U,0,1318,18,633,
PY,LASER RADIAL,1122,,,,,,,1,U,0,1122,5,17573,
PY,LASER STRATOS,1092,,,,,,,2,S,A,1092,,380,
PY,LASER VAGO XD,1064,,,,,,,2,S,A,1064,,536,
PY,LASER VORTEX,945,,,,,,,1,U,A,945,,976,
PY,LIGHTNING 368,1160,,,,,,,1,U,0,1160,6,1447,
PY,MERLIN-ROCKET,990,,,,,,,2,S,C,990,-4,3682,
PY,MIRACLE,1200,,,,,,,2,S,C,1200,,1958,
PY,MIRROR,1385,,,,,,,2,S,C,1385,,1510,
PY,MUSTO SKIFF,857,,,,,,,1,U,A,857,-3,1422,
PY,NATIONAL 12,1068,,,,,,,2,S,0,1068,-9,1278,
PY,OK,1100,,,,,,,1,U,0,1100,-6,1523,
PY,OPTIMIST,1658,,,,,,,1,U,0,1658,10,2850,
PY,OSPREY,944,,,,,,,2,S,C,944,,1196,
PY,PHANTOM,1002,,,,,,,1,U,0,1002,-10,8416,
PY,ROOSTER 8.1,1044,,,,,,,1,U,0,1044,-6,1412,
PY,RS 100 10.2,988,,,,,,,1,U,A,988,-4,578,
PY,RS 100 8.4,1000,,,,,,,1,U,A,1000,,1074,
PY,RS 200,1051,,,,,,,2,S,A,1051,-2,9545,
PY,RS 300,990,,,,,,,1,U,0,990,-5,2206,
PY,RS 400,946,,,,,,,2,S,A,946,-1,8275,
PY,RS 500,975,,,,,,,2,S,A,975,,1083,
PY,RS 600,920,,,,,,,1,U,0,920,,1345, 
PY,RS 700,852,,,,,,,1,U,A,852,-8,1887,
PY,RS 800,820,,,,,,,2,S,A,820,,1946,
PY,RS FEVA XL,1222,,,,,,,2,S,A,1222,12,1849,
PY,RS TERA PRO,1351,,,,,,,1,U,0,1351,,379,
PY,RS TERA SPORT,1451,,,,,,,1,U,0,1451,,851,
PY,RS VAREO,1071,,,,,,,1,U,A,1071,19,2020,
PY,RS VISION,1116,,,,,,,2,S,A,1116,20,1080,
PY,SCORPION,1042,,,,,,,2,S,C,1042,-2,2220,
PY,SNIPE,1087,,,,,,,2,S,0,1087,,475,
PY,SOLO,1146,,,,,,,1,U,0,1146,-2,25529,
PY,SOLUTION,1080,,,,,,,1,U,0,1080,3,803,
PY,STREAKER,1146,,,,,,,1,U,0,1146,-7,5843,
PY,SUPERNOVA,1071,,,,,,,1,U,0,1071,1,3709,
PY,TASAR,1018,,,,,,,2,S,0,1018,,1509,
PY,TOPAZ UNO,1236,,,,,,,1,U,0,1236,,345,
PY,TOPPER,1322,,,,,,,1,U,0,1322,9,13951,
PY,WANDERER,1160,,,,,,,2,S,C,1160,10,352,
PY,WAYFARER,1112,,,,,,,2,S,C,1112,11,3230,
;,,,,,,,,,,,,,,,
